booking_id,passenger_key,flight_id,route_key,airline_key,booking_date_key,booking_date,status,is_confirmed,is_cancelled,is_pending,is_status_imputed,seat_number,passport_masked
B1021,505,6F190,9,2,20251207,2025-12-07 11:37:36.951,CANCELLED,0,1,0,False,4E,L3****01
B1022,73,AI080,5,1,20260325,2026-03-25 11:37:36.951,CONFIRMED,1,0,0,False,16F,D7****55
B1023,249,6F213,6,2,20260203,2026-02-03 11:37:36.951,PENDING,0,0,1,False,24B,P1****70
B1024,511,AI115,23,1,20250621,2025-06-21 11:37:36.951,PENDING,0,0,1,False,30F,M1****27
B1025,603,SJ049,12,3,20260318,2026-03-18 11:37:36.951,PENDING,0,0,1,False,1B,L7****92
B1026,216,AI058,2,1,20250627,2025-06-27 11:37:36.951,CONFIRMED,1,0,0,False,32C,C7****38
B1027,973,UK036,22,4,20250725,2025-07-25 11:37:36.951,CONFIRMED,1,0,0,False,22A,F6****95
B1028,602,SJ239,2,3,20250525,2025-05-25 11:37:36.951,CANCELLED,0,1,0,False,26E,V3****48
B1029,541,6F025,6,2,20250606,2025-06-06 11:37:36.951,CANCELLED,0,1,0,False,19C,B7****70
B1030,947,6F236,8,2,20260318,2026-03-18 11:37:36.951,CANCELLED,0,1,0,False,21E,X1****93
B1031,817,AI060,4,1,20251116,2025-11-16 11:37:36.951,CANCELLED,0,1,0,False,1E,J4****64
B1032,939,UK021,14,4,20250903,2025-09-03 11:37:36.951,CANCELLED,0,1,0,False,18E,H7****01
B1033,988,UK026,14,4,20250506,2025-05-06 11:37:36.951,PENDING,0,0,1,True,19A,V4****38
B1034,220,SJ179,4,3,20251231,2025-12-31 11:37:36.951,CONFIRMED,1,0,0,False,22F,W5****61
B1035,840,6F251,7,2,20250821,2025-08-21 11:37:36.951,PENDING,0,0,1,False,11D,A1****46
B1036,727,SJ149,14,3,20251124,2025-11-24 11:37:36.951,PENDING,0,0,1,False,5B,F5****81
B1037,221,AI188,20,1,20260320,2026-03-20 11:37:36.951,PENDING,0,0,1,False,33E,H1****51
B1038,389,SJ093,6,3,20260101,2026-01-01 11:37:36.951,PENDING,0,0,1,False,12D,D7****15
B1039,554,SJ205,15,3,20250821,2025-08-21 11:37:36.951,CONFIRMED,1,0,0,False,11E,J0****25
B1040,647,6F099,11,2,20250808,2025-08-08 11:37:36.951,CONFIRMED,1,0,0,False,26B,Z5****18
B1041,42,UK176,24,4,20250528,2025-05-28 11:37:36.951,CONFIRMED,1,0,0,False,25C,Y7****87
B1042,676,UK200,12,4,20251202,2025-12-02 11:37:36.951,CANCELLED,0,1,0,False,24F,B0****50
B1043,873,6F195,12,2,20251122,2025-11-22 11:37:36.951,CANCELLED,0,1,0,False,8E,A5****98
B1044,283,6F174,4,2,20260412,2026-04-12 11:37:36.951,PENDING,0,0,1,False,16C,T8****05
B1045,58,SJ214,16,3,20260319,2026-03-19 11:37:36.951,PENDING,0,0,1,True,18C,B1****62
B1046,814,UK059,14,4,20251014,2025-10-14 11:37:36.951,CONFIRMED,1,0,0,False,2C,V5****60
B1047,834,6F151,20,2,20251229,2025-12-29 11:37:36.951,PENDING,0,0,1,False,7C,C2****51
B1048,537,SJ236,3,3,20250919,2025-09-19 11:37:36.951,PENDING,0,0,1,False,18C,D2****30
B1049,73,SJ153,18,3,20250728,2025-07-28 11:37:36.951,PENDING,0,0,1,True,3C,W9****16
B1050,885,AI220,8,1,20260115,2026-01-15 11:37:36.951,PENDING,0,0,1,False,7D,L4****90
B1051,923,6F028,15,2,20250705,2025-07-05 11:37:36.951,CANCELLED,0,1,0,False,16A,M6****98
B1052,129,UK209,23,4,20251230,2025-12-30 11:37:36.951,CANCELLED,0,1,0,False,33B,F9****22
B1053,599,UK216,19,4,20260401,2026-04-01 11:37:36.951,PENDING,0,0,1,False,28B,V4****30
B1054,842,AI132,6,1,20260411,2026-04-11 11:37:36.951,CANCELLED,0,1,0,False,19C,V4****69
B1055,426,6F012,20,2,20251014,2025-10-14 11:37:36.951,CANCELLED,0,1,0,False,13F,D6****16
B1056,948,UK173,23,4,20260324,2026-03-24 11:37:36.951,CANCELLED,0,1,0,False,15B,E9****20
B1057,665,SJ047,17,3,20250820,2025-08-20 11:37:36.951,CANCELLED,0,1,0,False,14F,C6****90
B1058,694,SJ043,11,3,20251207,2025-12-07 11:37:36.951,PENDING,0,0,1,False,8C,A6****22
B1059,125,UK140,23,4,20260103,2026-01-03 11:37:36.951,CONFIRMED,1,0,0,False,23B,N8****36
B1060,67,6F086,19,2,20251230,2025-12-30 11:37:36.951,CONFIRMED,1,0,0,False,11A,T4****67
B1061,6,6F114,16,2,20260405,2026-04-05 11:37:36.951,CANCELLED,0,1,0,False,19C,R8****42
B1062,637,UK153,20,4,20250612,2025-06-12 11:37:36.951,CANCELLED,0,1,0,False,15D,A7****54
B1063,314,6F149,25,2,20250519,2025-05-19 11:37:36.951,CANCELLED,0,1,0,False,9A,J7****37
B1064,326,UK145,5,4,20250914,2025-09-14 11:37:36.951,CONFIRMED,1,0,0,False,24E,T6****14
B1065,565,UK010,19,4,20260306,2026-03-06 11:37:36.951,CANCELLED,0,1,0,False,7B,D4****19
B1066,578,SJ003,21,3,20251105,2025-11-05 11:37:36.951,PENDING,0,0,1,False,1B,H8****78
B1067,826,SJ160,23,3,20250723,2025-07-23 11:37:36.951,PENDING,0,0,1,False,7F,W6****32
B1068,506,UK224,1,4,20251122,2025-11-22 11:37:36.951,PENDING,0,0,1,False,23A,P4****99
B1069,82,UK152,2,4,20250802,2025-08-02 11:37:36.951,CONFIRMED,1,0,0,False,16E,Y3****57
B1070,599,SJ034,3,3,20250922,2025-09-22 11:37:36.951,CANCELLED,0,1,0,False,15D,H6****92
B1071,2,UK215,8,4,20251221,2025-12-21 11:37:36.951,CANCELLED,0,1,0,False,15F,R6****72
B1072,204,UK089,5,4,20250810,2025-08-10 11:37:36.951,CANCELLED,0,1,0,False,18F,M1****61
B1073,662,6F180,23,2,20251204,2025-12-04 11:37:36.951,CONFIRMED,1,0,0,False,16A,C5****49
B1074,805,6F188,4,2,20250925,2025-09-25 11:37:36.951,CONFIRMED,1,0,0,False,7A,J8****65
B1075,404,UK131,8,4,20260103,2026-01-03 11:37:36.951,CONFIRMED,1,0,0,False,2F,J0****82
B1076,103,UK055,13,4,20250504,2025-05-04 11:37:36.951,CONFIRMED,1,0,0,False,12B,X0****30
B1077,536,UK181,11,4,20250503,2025-05-03 11:37:36.951,PENDING,0,0,1,False,3A,E4****92
B1078,368,6F077,12,2,20250921,2025-09-21 11:37:36.951,CONFIRMED,1,0,0,False,1B,Z4****76
B1079,212,SJ085,27,3,20250603,2025-06-03 11:37:36.951,CONFIRMED,1,0,0,False,10D,W2****31
B1080,577,SJ023,14,3,20250605,2025-06-05 11:37:36.951,CONFIRMED,1,0,0,False,22D,H2****99
B1081,961,SJ202,20,3,20251113,2025-11-13 11:37:36.951,CANCELLED,0,1,0,False,29C,Y8****29
B1082,209,SJ150,5,3,20250909,2025-09-09 11:37:36.951,CANCELLED,0,1,0,False,30A,Y3****68
B1083,763,SJ116,15,3,20250512,2025-05-12 11:37:36.951,CANCELLED,0,1,0,False,9A,E0****76
B1084,897,6F270,14,2,20250614,2025-06-14 11:37:36.951,PENDING,0,0,1,False,16E,H2****81
B1085,117,UK150,18,4,20260324,2026-03-24 11:37:36.951,PENDING,0,0,1,False,12A,V8****82
B1086,628,SJ237,2,3,20260216,2026-02-16 11:37:36.951,CONFIRMED,1,0,0,False,5D,G2****97
B1087,749,AI221,19,1,20250508,2025-05-08 11:37:36.951,CANCELLED,0,1,0,False,2F,L7****00
B1088,478,SJ081,26,3,20260325,2026-03-25 11:37:36.951,PENDING,0,0,1,False,31A,A1****13
B1089,105,UK189,27,4,20250903,2025-09-03 11:37:36.951,CANCELLED,0,1,0,False,25F,W5****55
B1090,495,SJ068,6,3,20250516,2025-05-16 11:37:36.951,PENDING,0,0,1,False,31C,V4****82
B1091,771,6F043,5,2,20250818,2025-08-18 11:37:36.951,PENDING,0,0,1,False,25D,C2****05
B1092,46,UK187,6,4,20260318,2026-03-18 11:37:36.951,CONFIRMED,1,0,0,False,16D,P7****04
B1093,823,UK074,8,4,20250511,2025-05-11 11:37:36.951,CONFIRMED,1,0,0,False,25E,L1****26
B1094,331,UK004,2,4,20260107,2026-01-07 11:37:36.951,PENDING,0,0,1,False,24C,P2****50
B1095,216,6F194,2,2,20250730,2025-07-30 11:37:36.951,CONFIRMED,1,0,0,False,14B,X6****06
B1096,982,UK068,27,4,20260103,2026-01-03 11:37:36.951,PENDING,0,0,1,False,12B,Y8****98
B1097,960,6F017,28,2,20250826,2025-08-26 11:37:36.951,PENDING,0,0,1,True,34F,J0****18
B1098,492,6F245,28,2,20251015,2025-10-15 11:37:36.951,PENDING,0,0,1,True,13D,Z4****38
B1099,813,6F254,23,2,20251207,2025-12-07 11:37:36.951,CONFIRMED,1,0,0,False,26E,Z1****12
B1100,922,UK077,17,4,20260305,2026-03-05 11:37:36.951,CONFIRMED,1,0,0,False,16D,F8****20
B1101,845,AI029,11,1,20250719,2025-07-19 11:37:36.951,CONFIRMED,1,0,0,False,3D,V6****17
B1102,449,SJ196,4,3,20251006,2025-10-06 11:37:36.951,PENDING,0,0,1,True,15F,N2****26
B1103,536,AI242,25,1,20250808,2025-08-08 11:37:36.951,CANCELLED,0,1,0,False,20D,W2****76
B1104,511,AI242,25,1,20250912,2025-09-12 11:37:36.951,CANCELLED,0,1,0,False,16E,V9****15
B1105,458,SJ044,18,3,20250911,2025-09-11 11:37:36.951,CONFIRMED,1,0,0,False,19F,J5****50
B1106,547,UK063,10,4,20250901,2025-09-01 11:37:36.951,CONFIRMED,1,0,0,False,21F,H3****84
B1107,536,AI056,9,1,20250519,2025-05-19 11:37:36.951,CONFIRMED,1,0,0,False,30F,H2****78
B1108,540,UK207,21,4,20251011,2025-10-11 11:37:36.951,CANCELLED,0,1,0,False,14B,B9****37
B1109,484,UK166,14,4,20251203,2025-12-03 11:37:36.951,CANCELLED,0,1,0,False,33D,L3****19
B1110,976,6F261,12,2,20251217,2025-12-17 11:37:36.951,PENDING,0,0,1,False,12B,D7****00
B1111,1000,UK134,15,4,20251225,2025-12-25 11:37:36.951,CANCELLED,0,1,0,False,34A,A9****82
B1112,16,6F152,12,2,20251002,2025-10-02 11:37:36.951,PENDING,0,0,1,False,27A,N5****91
B1113,571,SJ089,15,3,20251123,2025-11-23 11:37:36.951,CONFIRMED,1,0,0,False,5A,M9****49
B1114,977,6F123,4,2,20250926,2025-09-26 11:37:36.951,CANCELLED,0,1,0,False,2E,W4****75
B1115,243,AI025,13,1,20250823,2025-08-23 11:37:36.951,CONFIRMED,1,0,0,False,10A,P3****98
B1116,950,6F030,8,2,20251205,2025-12-05 11:37:36.951,CONFIRMED,1,0,0,False,19B,J5****40
B1117,207,SJ222,8,3,20250902,2025-09-02 11:37:36.951,CONFIRMED,1,0,0,False,28F,B5****66
B1118,912,UK109,6,4,20260403,2026-04-03 11:37:36.951,CONFIRMED,1,0,0,False,34B,D1****30
B1119,271,SJ117,23,3,20251125,2025-11-25 11:37:36.951,CANCELLED,0,1,0,False,21F,N9****71
B1120,761,SJ142,28,3,20250812,2025-08-12 11:37:36.951,CONFIRMED,1,0,0,False,12D,F3****68
B1121,994,SJ142,28,3,20250601,2025-06-01 11:37:36.951,PENDING,0,0,1,False,17C,Z7****38
B1122,779,AI030,20,1,20250502,2025-05-02 11:37:36.951,CANCELLED,0,1,0,False,20B,H4****35
B1123,705,6F097,6,2,20250923,2025-09-23 11:37:36.951,CONFIRMED,1,0,0,False,8A,W8****35
B1124,847,6F129,18,2,20250523,2025-05-23 11:37:36.951,CANCELLED,0,1,0,False,5C,M7****59
B1125,730,6F181,16,2,20260115,2026-01-15 11:37:36.951,PENDING,0,0,1,False,27E,F0****69
B1126,115,AI072,25,1,20251020,2025-10-20 11:37:36.951,CONFIRMED,1,0,0,False,10E,K8****84
B1127,580,SJ154,29,3,20250629,2025-06-29 11:37:36.951,PENDING,0,0,1,False,2E,N9****14
B1128,299,AI031,9,1,20260408,2026-04-08 11:37:36.951,CONFIRMED,1,0,0,False,10D,Y3****34
B1129,837,AI031,9,1,20250918,2025-09-18 11:37:36.951,PENDING,0,0,1,False,26F,W0****72
B1130,483,6F158,1,2,20251226,2025-12-26 11:37:36.951,CONFIRMED,1,0,0,False,34E,P0****83
B1131,397,6F184,3,2,20250616,2025-06-16 11:37:36.951,CANCELLED,0,1,0,False,1C,Y5****04
B1132,394,UK141,14,4,20250620,2025-06-20 11:37:36.951,CONFIRMED,1,0,0,False,10D,D2****08
B1133,75,6F168,13,2,20251229,2025-12-29 11:37:36.951,CANCELLED,0,1,0,False,23D,E6****96
B1134,978,6F051,6,2,20250728,2025-07-28 11:37:36.951,CONFIRMED,1,0,0,False,34C,G0****23
B1135,482,6F047,11,2,20251202,2025-12-02 11:37:36.951,CONFIRMED,1,0,0,False,20E,D4****23
B1136,103,UK156,23,4,20251026,2025-10-26 11:37:36.951,PENDING,0,0,1,False,28E,B0****08
B1137,297,AI094,7,1,20250901,2025-09-01 11:37:36.951,PENDING,0,0,1,False,13E,C0****11
B1138,178,AI038,14,1,20250714,2025-07-14 11:37:36.951,PENDING,0,0,1,False,6C,A0****94
B1139,215,6F255,10,2,20260119,2026-01-19 11:37:36.951,CONFIRMED,1,0,0,False,29F,L0****39
B1140,967,SJ025,2,3,20260123,2026-01-23 11:37:36.951,CONFIRMED,1,0,0,False,29D,E0****07
B1141,315,SJ185,2,3,20251028,2025-10-28 11:37:36.951,CONFIRMED,1,0,0,False,9C,F0****29
B1142,39,6F259,8,2,20260121,2026-01-21 11:37:36.951,CANCELLED,0,1,0,False,5C,C7****99
B1143,259,6F073,18,2,20260407,2026-04-07 11:37:36.951,CANCELLED,0,1,0,False,15A,V8****37
B1144,716,AI091,1,1,20250926,2025-09-26 11:37:36.951,CONFIRMED,1,0,0,False,6D,M2****78
B1145,7,6F191,30,2,20250823,2025-08-23 11:37:36.951,PENDING,0,0,1,False,15D,F1****61
B1146,49,UK228,9,4,20250830,2025-08-30 11:37:36.951,PENDING,0,0,1,False,25A,V5****95
B1147,538,6F146,14,2,20260325,2026-03-25 11:37:36.951,PENDING,0,0,1,False,11E,R1****90
B1148,161,6F068,29,2,20251013,2025-10-13 11:37:36.951,CONFIRMED,1,0,0,False,19A,E6****64
B1149,869,SJ218,4,3,20260108,2026-01-08 11:37:36.951,PENDING,0,0,1,False,30F,G4****12
B1150,176,UK083,4,4,20250925,2025-09-25 11:37:36.951,CONFIRMED,1,0,0,False,12A,V2****17
B1151,591,SJ007,2,3,20260118,2026-01-18 11:37:36.951,CANCELLED,0,1,0,False,29B,V6****79
B1152,2,AI077,20,1,20250814,2025-08-14 11:37:36.951,PENDING,0,0,1,False,27A,H8****85
B1153,895,UK017,29,4,20251220,2025-12-20 11:37:36.951,CANCELLED,0,1,0,False,8D,X7****66
B1154,455,6F229,11,2,20260217,2026-02-17 11:37:36.951,PENDING,0,0,1,False,24A,B6****20
B1155,928,6F074,17,2,20251008,2025-10-08 11:37:36.951,CONFIRMED,1,0,0,False,6D,E1****52
B1156,644,SJ088,1,3,20260325,2026-03-25 11:37:36.951,CONFIRMED,1,0,0,False,5E,L8****92
B1157,276,SJ167,21,3,20250628,2025-06-28 11:37:36.951,CONFIRMED,1,0,0,False,18B,X2****90
B1158,498,6F234,8,2,20250720,2025-07-20 11:37:36.951,CONFIRMED,1,0,0,False,22A,Y8****20
B1159,629,UK071,4,4,20251210,2025-12-10 11:37:36.951,PENDING,0,0,1,False,22F,W6****24
B1160,676,AI178,22,1,20251121,2025-11-21 11:37:36.951,CANCELLED,0,1,0,False,29A,C4****70
B1161,800,UK104,10,4,20251114,2025-11-14 11:37:36.951,CONFIRMED,1,0,0,False,12A,H8****38
B1162,28,AI146,30,1,20250422,2025-04-22 11:37:36.951,PENDING,0,0,1,True,32D,N1****98
B1163,333,SJ235,8,3,20251110,2025-11-10 11:37:36.951,CANCELLED,0,1,0,False,13D,X6****58
B1164,1,6F209,21,2,20250424,2025-04-24 11:37:36.951,CONFIRMED,1,0,0,False,24A,Z8****23
B1165,188,AI129,2,1,20250820,2025-08-20 11:37:36.951,CANCELLED,0,1,0,False,2F,M6****90
B1166,56,SJ141,12,3,20260123,2026-01-23 11:37:36.951,CONFIRMED,1,0,0,False,34D,J8****42
B1167,547,SJ018,2,3,20260202,2026-02-02 11:37:36.951,CANCELLED,0,1,0,False,9F,N3****23
B1168,112,UK120,13,4,20251014,2025-10-14 11:37:36.951,CANCELLED,0,1,0,False,11C,N3****56
B1169,798,AI078,10,1,20251115,2025-11-15 11:37:36.951,CONFIRMED,1,0,0,False,11E,L2****56
B1170,310,AI079,22,1,20250914,2025-09-14 11:37:36.951,PENDING,0,0,1,False,15E,X3****51
B1171,36,UK087,14,4,20250919,2025-09-19 11:37:36.951,CANCELLED,0,1,0,False,21A,N5****46
B1172,439,UK133,8,4,20260117,2026-01-17 11:37:36.951,CONFIRMED,1,0,0,False,8F,T4****49
B1173,729,AI222,8,1,20250601,2025-06-01 11:37:36.951,CANCELLED,0,1,0,False,22E,D7****38
B1174,592,6F049,13,2,20260412,2026-04-12 11:37:36.951,CANCELLED,0,1,0,False,19D,B1****15
B1175,826,6F105,6,2,20260129,2026-01-29 11:37:36.951,PENDING,0,0,1,False,27D,L3****93
B1176,595,SJ226,17,3,20250417,2025-04-17 11:37:36.951,CANCELLED,0,1,0,False,7C,P7****42
B1177,577,SJ227,2,3,20250729,2025-07-29 11:37:36.951,CANCELLED,0,1,0,False,34D,M2****19
B1178,325,6F034,8,2,20260205,2026-02-05 11:37:36.951,CONFIRMED,1,0,0,False,34E,E7****38
B1179,640,SJ078,4,3,20251003,2025-10-03 11:37:36.951,CONFIRMED,1,0,0,False,33D,F2****05
B1180,307,AI240,11,1,20260410,2026-04-10 11:37:36.951,PENDING,0,0,1,False,22F,R4****58
B1181,534,SJ002,10,3,20260329,2026-03-29 11:37:36.951,CANCELLED,0,1,0,False,12E,Z5****94
B1182,728,AI044,23,1,20250811,2025-08-11 11:37:36.951,CANCELLED,0,1,0,False,3A,Y1****20
B1183,619,UK076,21,4,20250622,2025-06-22 11:37:36.951,CANCELLED,0,1,0,False,8C,K5****32
B1184,109,6F232,23,2,20250801,2025-08-01 11:37:36.951,PENDING,0,0,1,False,28E,G0****83
B1185,372,SJ228,2,3,20250816,2025-08-16 11:37:36.951,CANCELLED,0,1,0,False,25E,D4****96
B1186,357,SJ074,18,3,20260404,2026-04-04 11:37:36.951,CONFIRMED,1,0,0,False,1B,T3****62
B1187,181,UK229,13,4,20250804,2025-08-04 11:37:36.951,PENDING,0,0,1,False,7F,F5****32
B1188,356,AI208,6,1,20260404,2026-04-04 11:37:36.951,CONFIRMED,1,0,0,False,6A,C2****49
B1189,676,AI019,2,1,20251123,2025-11-23 11:37:36.951,CONFIRMED,1,0,0,False,14F,A1****72
B1190,68,6F029,26,2,20250523,2025-05-23 11:37:36.951,PENDING,0,0,1,False,12B,A8****17
B1191,292,6F018,7,2,20250427,2025-04-27 11:37:36.951,CONFIRMED,1,0,0,False,25B,R5****72
B1192,692,AI059,12,1,20250623,2025-06-23 11:37:36.951,CANCELLED,0,1,0,False,7D,E9****83
B1193,181,AI159,24,1,20250522,2025-05-22 11:37:36.951,PENDING,0,0,1,False,13D,F7****73
B1194,466,6F091,25,2,20250711,2025-07-11 11:37:36.951,CONFIRMED,1,0,0,False,14F,Z9****22
B1195,434,6F084,20,2,20250720,2025-07-20 11:37:36.951,CANCELLED,0,1,0,False,10B,D6****38
B1196,464,UK170,26,4,20260115,2026-01-15 11:37:36.951,CANCELLED,0,1,0,False,20C,Z5****58
B1197,681,UK212,14,4,20250519,2025-05-19 11:37:36.951,CONFIRMED,1,0,0,False,2E,T7****43
B1198,914,SJ022,7,3,20250616,2025-06-16 11:37:36.951,PENDING,0,0,1,True,29A,J9****79
B1199,534,SJ075,23,3,20251213,2025-12-13 11:37:36.951,PENDING,0,0,1,False,30E,F7****39
B1200,66,UK177,4,4,20250917,2025-09-17 11:37:36.951,CONFIRMED,1,0,0,False,16B,D3****88
B1201,21,UK206,23,4,20260201,2026-02-01 11:37:36.951,CANCELLED,0,1,0,False,3A,D2****32
B1202,612,UK079,7,4,20250429,2025-04-29 11:37:36.951,CANCELLED,0,1,0,False,29C,W7****89
B1203,384,UK040,15,4,20250621,2025-06-21 11:37:36.951,CONFIRMED,1,0,0,False,3B,M8****60
B1204,812,AI034,10,1,20250725,2025-07-25 11:37:36.951,CONFIRMED,1,0,0,False,30A,K3****51
B1205,615,UK034,7,4,20251018,2025-10-18 11:37:36.951,CONFIRMED,1,0,0,False,23F,F3****92
B1206,559,AI088,11,1,20250702,2025-07-02 11:37:36.951,CONFIRMED,1,0,0,False,13A,K3****09
B1207,39,AI128,2,1,20250611,2025-06-11 11:37:36.951,PENDING,0,0,1,False,26A,C3****12
B1208,285,SJ052,23,3,20250722,2025-07-22 11:37:36.951,PENDING,0,0,1,True,9A,E1****67
B1209,822,AI233,6,1,20251215,2025-12-15 11:37:36.951,PENDING,0,0,1,False,3A,C1****22
B1210,602,AI012,2,1,20260120,2026-01-20 11:37:36.951,PENDING,0,0,1,False,3C,E5****93
B1211,597,AI084,5,1,20250707,2025-07-07 11:37:36.951,CONFIRMED,1,0,0,False,34A,N5****74
B1212,785,6F126,1,2,20250708,2025-07-08 11:37:36.951,PENDING,0,0,1,False,34B,K2****86
B1213,336,SJ061,23,3,20250616,2025-06-16 11:37:36.951,CONFIRMED,1,0,0,False,2E,X5****62
B1214,188,UK194,28,4,20250814,2025-08-14 11:37:36.951,PENDING,0,0,1,True,23B,M5****99
B1215,671,AI135,6,1,20250808,2025-08-08 11:37:36.951,CANCELLED,0,1,0,False,28C,A1****43
B1216,243,6F238,8,2,20251209,2025-12-09 11:37:36.951,CONFIRMED,1,0,0,False,10A,M6****41
B1217,73,6F092,23,2,20260319,2026-03-19 11:37:36.951,CANCELLED,0,1,0,False,32C,B6****73
B1218,479,AI213,15,1,20251113,2025-11-13 11:37:36.951,PENDING,0,0,1,False,2D,Y9****69
B1219,974,UK193,13,4,20260215,2026-02-15 11:37:36.951,CANCELLED,0,1,0,False,1B,E4****42
B1220,561,6F178,2,2,20260404,2026-04-04 11:37:36.951,PENDING,0,0,1,False,29C,H0****67
B1221,101,AI158,12,1,20260306,2026-03-06 11:37:36.951,CONFIRMED,1,0,0,False,19D,K9****55
B1222,514,UK208,18,4,20260330,2026-03-30 11:37:36.951,PENDING,0,0,1,False,8A,J7****60
B1223,756,6F056,16,2,20260409,2026-04-09 11:37:36.951,PENDING,0,0,1,True,15A,D8****68
B1224,176,UK185,9,4,20251026,2025-10-26 11:37:36.951,CONFIRMED,1,0,0,False,1E,J1****08
B1225,238,AI163,14,1,20260113,2026-01-13 11:37:36.951,PENDING,0,0,1,False,4D,M7****15
B1226,910,AI112,7,1,20250823,2025-08-23 11:37:36.951,CONFIRMED,1,0,0,False,15C,V0****07
B1227,59,AI227,27,1,20251023,2025-10-23 11:37:36.951,CANCELLED,0,1,0,False,12A,K5****36
B1228,865,SJ083,23,3,20260417,2026-04-17 11:37:36.951,CONFIRMED,1,0,0,False,29D,A9****85
B1229,99,UK073,25,4,20260207,2026-02-07 11:37:36.951,CONFIRMED,1,0,0,False,13F,J7****05
B1230,954,6F169,8,2,20250429,2025-04-29 11:37:36.951,PENDING,0,0,1,False,6C,N2****62
B1231,871,UK154,19,4,20260406,2026-04-06 11:37:36.951,CANCELLED,0,1,0,False,27D,H2****46
B1232,954,SJ169,16,3,20251006,2025-10-06 11:37:36.951,CONFIRMED,1,0,0,False,32F,L9****79
B1233,495,6F187,16,2,20250513,2025-05-13 11:37:36.951,CANCELLED,0,1,0,False,5F,J0****88
B1234,947,UK210,18,4,20251121,2025-11-21 11:37:36.951,CANCELLED,0,1,0,False,33A,A5****04
B1235,980,6F250,22,2,20251223,2025-12-23 11:37:36.951,PENDING,0,0,1,False,13D,Y7****31
B1236,514,AI062,11,1,20250705,2025-07-05 11:37:36.951,CONFIRMED,1,0,0,False,25A,D6****16
B1237,755,AI047,1,1,20251116,2025-11-16 11:37:36.951,PENDING,0,0,1,True,15B,T4****43
B1238,297,SJ186,12,3,20251020,2025-10-20 11:37:36.951,PENDING,0,0,1,True,8E,F3****99
B1239,211,AI217,22,1,20251117,2025-11-17 11:37:36.951,CANCELLED,0,1,0,False,30A,A1****03
B1240,123,UK100,22,4,20251231,2025-12-31 11:37:36.951,CONFIRMED,1,0,0,False,17A,W2****20
B1241,229,UK116,28,4,20251216,2025-12-16 11:37:36.951,CONFIRMED,1,0,0,False,10A,M9****97
B1242,594,6F036,22,2,20251201,2025-12-01 11:37:36.951,CANCELLED,0,1,0,False,26C,A8****01
B1243,656,AI175,5,1,20260122,2026-01-22 11:37:36.951,CANCELLED,0,1,0,False,29E,E2****83
B1244,388,UK051,13,4,20250818,2025-08-18 11:37:36.951,CONFIRMED,1,0,0,False,27D,A8****80
B1245,140,6F201,28,2,20260417,2026-04-17 11:37:36.951,PENDING,0,0,1,True,26A,C2****49
